doy,julianDay,conso_potager,conso_paillage
01-01,1,0.00,0
01-02,2,0.00,0
01-03,3,0.00,0
01-04,4,0.00,0
01-05,5,0.00,0
01-06,6,0.00,0
01-07,7,0.00,0
01-08,8,0.00,0
01-09,9,0.00,0
01-10,10,0.00,0
01-11,11,0.00,0
01-12,12,0.00,0
01-13,13,0.00,0
01-14,14,0.00,0
01-15,15,0.00,0
01-16,16,0.00,0
01-17,17,0.00,0
01-18,18,0.00,0
01-19,19,0.00,0
01-20,20,0.00,0
01-21,21,0.00,0
01-22,22,0.00,0
01-23,23,0.00,0
01-24,24,0.00,0
01-25,25,0.00,0
01-26,26,0.00,0
01-27,27,0.00,0
01-28,28,0.00,0
01-29,29,0.00,0
01-30,30,0.00,0
01-31,31,0.00,0
02-01,32,0.00,0
02-02,33,0.00,0
02-03,34,0.00,0
02-04,35,0.00,0
02-05,36,0.00,0
02-06,37,0.00,0
02-07,38,0.00,0
02-08,39,0.00,0
02-09,40,0.00,0
02-10,41,0.00,0
02-11,42,0.00,0
02-12,43,0.00,0
02-13,44,0.00,0
02-14,45,0.00,0
02-15,46,0.00,0
02-16,47,0.00,0
02-17,48,0.00,0
02-18,49,0.00,0
02-19,50,0.00,0
02-20,51,0.00,0
02-21,52,0.00,0
02-22,53,0.00,0
02-23,54,0.00,0
02-24,55,0.00,0
02-25,56,0.00,0
02-26,57,0.00,0
02-27,58,0.00,0
02-28,59,0.00,0
03-01,60,0.00,0
03-02,61,0.00,0
03-03,62,0.00,0
03-04,63,0.00,0
03-05,64,0.00,0
03-06,65,0.00,0
03-07,66,0.00,0
03-08,67,0.00,0
03-09,68,0.00,0
03-10,69,0.00,0
03-11,70,0.00,0
03-12,71,0.00,0
03-13,72,0.00,0
03-14,73,0.00,0
03-15,74,0.00,0
03-16,75,0.00,0
03-17,76,0.00,0
03-18,77,0.00,0
03-19,78,0.00,0
03-20,79,0.00,0
03-21,80,0.00,0
03-22,81,0.00,0
03-23,82,0.00,0
03-24,83,0.00,0
03-25,84,0.00,0
03-26,85,0.00,0
03-27,86,0.00,0
03-28,87,0.00,0
03-29,88,0.00,0
03-30,89,0.00,0
03-31,90,0.00,0
04-01,91,0.00,0
04-02,92,0.00,0
04-03,93,0.00,0
04-04,94,0.00,0
04-05,95,0.00,0
04-06,96,0.00,0
04-07,97,0.00,0
04-08,98,0.00,0
04-09,99,0.00,0
04-10,100,0.00,0
04-11,101,0.00,0
04-12,102,0.00,0
04-13,103,0.00,0
04-14,104,0.00,0
04-15,105,0.00,0
04-16,106,0.00,0
04-17,107,0.00,0
04-18,108,0.00,0
04-19,109,0.00,0
04-20,110,0.00,0
04-21,111,0.00,0
04-22,112,0.00,0
04-23,113,0.00,0
04-24,114,0.00,0
04-25,115,0.00,0
04-26,116,0.00,0
04-27,117,0.00,0
04-28,118,0.00,0
04-29,119,0.00,0
04-30,120,0.00,0
05-01,121,3.33,0.8333333333
05-02,122,3.33,0.8333333333
05-03,123,3.33,0.8333333333
05-04,124,3.33,0.8333333333
05-05,125,3.33,0.8333333333
05-06,126,3.33,0.8333333333
05-07,127,3.33,0.8333333333
05-08,128,3.33,0.8333333333
05-09,129,3.33,0.8333333333
05-10,130,3.33,0.8333333333
05-11,131,3.33,0.8333333333
05-12,132,3.33,0.8333333333
05-13,133,3.33,0.8333333333
05-14,134,3.33,0.8333333333
05-15,135,3.33,0.8333333333
05-16,136,3.33,0.8333333333
05-17,137,3.33,0.8333333333
05-18,138,3.33,0.8333333333
05-19,139,3.33,0.8333333333
05-20,140,3.33,0.8333333333
05-21,141,3.33,0.8333333333
05-22,142,3.33,0.8333333333
05-23,143,3.33,0.8333333333
05-24,144,3.33,0.8333333333
05-25,145,3.33,0.8333333333
05-26,146,3.33,0.8333333333
05-27,147,3.33,0.8333333333
05-28,148,3.33,0.8333333333
05-29,149,3.33,0.8333333333
05-30,150,3.33,0.8333333333
05-31,151,3.33,0.8333333333
06-01,152,6.67,1.666666667
06-02,153,6.67,1.666666667
06-03,154,6.67,1.666666667
06-04,155,6.67,1.666666667
06-05,156,6.67,1.666666667
06-06,157,6.67,1.666666667
06-07,158,6.67,1.666666667
06-08,159,6.67,1.666666667
06-09,160,6.67,1.666666667
06-10,161,6.67,1.666666667
06-11,162,6.67,1.666666667
06-12,163,6.67,1.666666667
06-13,164,6.67,1.666666667
06-14,165,6.67,1.666666667
06-15,166,6.67,1.666666667
06-16,167,6.67,1.666666667
06-17,168,6.67,1.666666667
06-18,169,6.67,1.666666667
06-19,170,6.67,1.666666667
06-20,171,6.67,1.666666667
06-21,172,6.67,1.666666667
06-22,173,6.67,1.666666667
06-23,174,6.67,1.666666667
06-24,175,6.67,1.666666667
06-25,176,6.67,1.666666667
06-26,177,6.67,1.666666667
06-27,178,6.67,1.666666667
06-28,179,6.67,1.666666667
06-29,180,6.67,1.666666667
06-30,181,6.67,1.666666667
07-01,182,6.67,1.666666667
07-02,183,6.67,1.666666667
07-03,184,6.67,1.666666667
07-04,185,6.67,1.666666667
07-05,186,6.67,1.666666667
07-06,187,6.67,1.666666667
07-07,188,6.67,1.666666667
07-08,189,6.67,1.666666667
